                                          feat      coef  abs_coef
2                                 capital-gain  0.645562  0.645562
0                               hours-per-week  0.319164  0.319164
3                                 capital-loss   0.26671   0.26671
4                                education-num   0.19558   0.19558
1                                          age  0.162791  0.162791
28                       education_Prof-school  0.119664  0.119664
42                           relationship_Wife  0.106117  0.106117
24                         education_Doctorate  0.101649  0.101649
32           marital-status_Married-civ-spouse  0.099144  0.099144
96                  occupation_Exec-managerial  0.095926  0.095926
71                      native-country_Ireland   0.08546   0.08546
87                     native-country_Thailand -0.082631  0.082631
65           native-country_Holand-Netherlands -0.082568  0.082568
31            marital-status_Married-AF-spouse  0.079065  0.079065
26                           education_Masters  0.074671  0.074671
6                        workclass_Federal-gov  0.071413  0.071413
97                  occupation_Farming-fishing -0.069246  0.069246
94                     occupation_Armed-Forces -0.065591  0.065591
51                     native-country_Cambodia   0.06463   0.06463
13                       workclass_Without-pay -0.064255  0.064255
91                   native-country_Yugoslavia  0.064124  0.064124
102                  occupation_Prof-specialty  0.061244  0.061244
105                    occupation_Tech-support  0.061207  0.061207
72                        native-country_Italy  0.060505  0.060505
101                 occupation_Priv-house-serv -0.060363  0.060363
19                           education_7th-8th -0.057539  0.057539
54                     native-country_Columbia -0.054718  0.054718
90                      native-country_Vietnam -0.053552  0.053552
40                      relationship_Own-child -0.052415  0.052415
10                      workclass_Self-emp-inc   0.05233   0.05233
34                marital-status_Never-married -0.050943  0.050943
52                       native-country_Canada  0.050098  0.050098
53                        native-country_China -0.047411  0.047411
59                      native-country_England  0.046099  0.046099
103                 occupation_Protective-serv  0.045097  0.045097
68                      native-country_Hungary -0.043954  0.043954
36                      marital-status_Widowed -0.043144  0.043144
20                               education_9th -0.043048  0.043048
61                      native-country_Germany   0.04136   0.04136
82                     native-country_Portugal  0.039804  0.039804
85                        native-country_South -0.039149  0.039149
11                  workclass_Self-emp-not-inc -0.038033  0.038033
39                 relationship_Other-relative -0.038017  0.038017
100                   occupation_Other-service -0.037422  0.037422
98                occupation_Handlers-cleaners -0.035312  0.035312
79                         native-country_Peru -0.034508  0.034508
18                           education_5th-6th -0.033794  0.033794
17                           education_1st-4th -0.033569  0.033569
14                              education_10th -0.032625  0.032625
30                     marital-status_Divorced -0.031852  0.031852
92                                occupation_? -0.030833  0.030833
88              native-country_Trinadad&Tobago -0.030717  0.030717
69                        native-country_India  -0.03036   0.03036
23                         education_Bachelors  0.030249  0.030249
15                              education_11th -0.029754  0.029754
77                    native-country_Nicaragua -0.029272  0.029272
16                              education_12th -0.028909  0.028909
35                    marital-status_Separated -0.027983  0.027983
104                           occupation_Sales  0.027715  0.027715
63                    native-country_Guatemala  0.027337  0.027337
37                        relationship_Husband  0.026959  0.026959
25                           education_HS-grad -0.026703  0.026703
43                     race_Amer-Indian-Eskimo -0.026279  0.026279
89                native-country_United-States  0.025708  0.025708
56           native-country_Dominican-Republic -0.024608  0.024608
33        marital-status_Married-spouse-absent -0.024288  0.024288
83                  native-country_Puerto-Rico  0.023282  0.023282
60                       native-country_France  0.022833  0.022833
57                      native-country_Ecuador -0.021591  0.021591
38                  relationship_Not-in-family -0.021468  0.021468
5                                  workclass_?  -0.02138   0.02138
41                      relationship_Unmarried -0.021176  0.021176
66                     native-country_Honduras  -0.02105   0.02105
80                  native-country_Philippines  0.020755  0.020755
74                        native-country_Japan    0.0206    0.0206
48                                  sex_Female -0.020432  0.020432
49                                    sex_Male  0.020432  0.020432
73                      native-country_Jamaica  0.020064  0.020064
58                  native-country_El-Salvador  0.018349  0.018349
76                       native-country_Mexico -0.017128  0.017128
9                            workclass_Private  0.016652  0.016652
21                        education_Assoc-acdm -0.016509  0.016509
95                     occupation_Craft-repair  0.016164  0.016164
64                        native-country_Haiti  0.015562  0.015562
29                      education_Some-college -0.014015  0.014015
93                     occupation_Adm-clerical  0.014009  0.014009
12                         workclass_State-gov -0.013265  0.013265
44                     race_Asian-Pac-Islander  0.013198  0.013198
99                occupation_Machine-op-inspct -0.012744  0.012744
86                       native-country_Taiwan -0.011959  0.011959
55                         native-country_Cuba  0.011909  0.011909
78   native-country_Outlying-US(Guam-USVI-etc) -0.011632  0.011632
84                     native-country_Scotland   -0.0103    0.0103
106                occupation_Transport-moving -0.009852  0.009852
46                                  race_Other  0.009495  0.009495
8                       workclass_Never-worked -0.009453  0.009453
75                         native-country_Laos  -0.00924   0.00924
47                                  race_White  0.008872  0.008872
22                         education_Assoc-voc -0.008872  0.008872
70                         native-country_Iran  0.008586  0.008586
62                       native-country_Greece  -0.00647   0.00647
7                          workclass_Local-gov  0.005991  0.005991
45                                  race_Black -0.005286  0.005286
67                         native-country_Hong -0.004734  0.004734
50                            native-country_?  0.001941  0.001941
81                       native-country_Poland -0.001457  0.001457
27                         education_Preschool -0.000898  0.000898
